Character	Occurrence	Percentage
P	84	0.5169548895316635
r	865	5.323404517201059
i	1020	6.277309372884485
n	1106	6.806572712166902
c	342	2.1047449073789153
e	1958	12.04997230598806
A	74	0.455412640777894
d	780	4.800295402794018
w	357	2.1970582805095695
a	1287	7.920487414610129
s	958	5.895747430611115
t	1309	8.055880361868423
g	305	1.8770385869899688
b	182	1.1200689273186044
f	288	1.7724167641085604
o	1024	6.301926272385994
h	1013	6.2342297987568465
,	257	1.5816357929718754
y	267	1.6431780417256447
m	356	2.190904055634193
l	557	3.427903255584959
k	104	0.6400393870392024
u	345	2.1232075820050467
.	235	1.4462428457135823
S	22	0.13539294725829282
v	136	0.8369745830512646
-	84	0.5169548895316635
p	225	1.3847005969598127
x	23	0.14154717213366977
'	48	0.2954027940180934
N	51	0.31386546864422427
""""	154	0.9477506308080497
j	9	0.05538802387839251
6	13	0.0800049233799003
B	20	0.12308449750753891
V	6	0.03692534925226167
*	3	0.018462674626130837
O	11	0.06769647362914641
K	2	0.012308449750753894
I	85	0.5231091144070404
X	7	0.043079574127638624
2	4	0.024616899501507788
5	1	0.006154224875376947
z	4	0.024616899501507788
W	30	0.1846267462613084
?	35	0.21539787063819313
Y	12	0.07385069850452335
C	12	0.07385069850452335
(	8	0.049233799003015576
)	8	0.049233799003015576
T	26	0.1600098467598006
q	14	0.08615914825527725
!	27	0.16616407163517755
:	12	0.07385069850452335
L	2	0.012308449750753894
D	11	0.06769647362914641
M	14	0.08615914825527725
H	15	0.0923133731306542
E	11	0.06769647362914641
;	11	0.06769647362914641
R	10	0.06154224875376946
1	2	0.012308449750753894
F	4	0.024616899501507788
G	2	0.012308449750753894
7	1	0.006154224875376947
8	1	0.006154224875376947
