Digraph,Count
Pr,47
ri,111
in,324
nc,70
ce,107
An,52
nd,232
dr,47
re,216
ew,55
wa,80
as,130
st,79
ta,58
an,240
di,40
ng,163
be,72
ef,18
fo,39
or,83
he,442
er,279
sa,66
ay,43
yi,7
so,60
om,73
me,102
et,35
th,370
hi,164
to,146
wi,57
it,123
lo,60
oo,49
ok,15
of,73
te,129
en,167
de,58
ol,30
li,63
ic,39
ci,16
tu,13
ud,12
Sh,10
ha,213
av,27
vi,13
ra,52
ai,56
is,160
se,93
ed,192
ea,67
ad,72
ki,17
up,16
at,195
im,57
fl,4
lu,9
us,37
sh,121
ev,30
id,57
nt,102
tl,13
ly,59
tr,30
ry,28
ma,59
ap,30
pi,12
br,12
ig,28
gh,38
ht,31
gl,16
ow,60
nn,5
ne,93
fi,24
ir,32
ee,63
su,30
pp,21
pr,28
es,103
ss,48
ag,18
ga,20
al,92
co,77
mp,16
pl,26
le,79
el,66
ns,26
sf,5
rm,14
fr,27
ro,45
la,37
gi,15
rl,13
ec,31
wh,43
ba,14
ll,57
we,37
Pi,28
ie,72
rr,46
tt,12
no,65
ot,63
ti,76
yo,40
ou,146
ut,52
hf,1
fu,11
ul,43
ex,20
xp,12
si,54
io,33
on,136
fa,27
ac,36
ch,44
ge,28
ve,104
du,5
ur,38
am,40
ck,4
Na,37
td,25
ds,33
bu,21
ho,60
ix,2
ru,10
ub,10
bb,4
rs,38
tc,1
So,1
po,16
rt,28
pe,47
ni,37
tw,7
em,30
ug,14
fe,36
bo,23
jo,5
oy,8
yf,2
pa,27
nf,3
eg,17
ct,16
Af,1
ft,18
go,17
ik,7
ke,30
lk,18
ny,11
ya,3
Bo,6
Ve,2
bt,7
sm,11
mi,24
il,29
sk,11
ey,15
cr,9
ts,9
do,41
wn,14
Vr,2
ar,98
ty,14
BO,2
OO,2
OK,2
SI,2
IX,2
ab,28
bs,3
ei,14
iz,3
zi,2
mo,26
nv,5
gs,6
Wi,3
ua,4
gu,6
ue,13
lt,11
ip,4
Wh,16
ca,33
aw,15
by,9
lf,19
mb,7
nk,9
Wr,3
rc,6
Yo,4
sc,9
rn,14
un,38
eo,6
op,12
Co,6
ld,45
hm,1
wo,21
ov,26
Th,22
kn,18
ep,15
bl,12
lv,4
qu,14
iv,10
dd,9
ju,2
oa,6
Ye,7
In,4
da,22
ys,10
nu,5
oi,12
cu,10
ia,15
hu,2
um,9
cs,2
mu,12
uc,15
if,21
pt,10
ib,1
bj,1
je,2
au,7
ws,1
mf,1
ui,8
sl,7
No,7
vo,11
og,1
dl,15
od,15
Oh,2
nl,14
cy,4
Le,2
na,9
eu,1
ux,1
Do,5
af,13
ff,11
ye,19
Mo,1
os,18
rk,6
ks,3
ak,15
We,5
rp,3
He,8
tf,2
wl,2
Br,1
sn,1
Bu,7
Be,4
rg,6
Sp,1
py,6
cc,6
Ev,2
yt,8
rd,18
va,4
sp,15
pu,4
cl,7
CH,2
HA,2
AP,2
PT,2
TE,2
ER,2
XX,2
XI,2
II,3
NE,1
EX,1
XT,1
DA,1
AY,1
Ro,3
vs,2
ze,2
nr,1
nh,2
hb,1
WA,2
AR,2
AN,3
ND,3
PE,2
EA,2
AC,2
CE,3
tA,1
As,2
gr,4
ms,5
Ma,8
mm,11
Fo,2
On,4
az,1
lw,2
oe,8
my,12
sw,3
Al,2
Mu,3
It,8
Ot,1
dn,2
ml,1
Pe,2
sb,2
Cl,1
lr,4
dy,7
ls,3
Re,1
wr,2
lb,1
Go,1
Da,2
Ho,2
xc,2
At,5
Hl,1
Fr,2
gn,3
eq,2
hr,7
oc,4
Si,2
rv,3
tg,1
To,1
tm,2
ps,2
Sc,1
dg,1
ob,6
Ah,1
Su,1
vy,1
uf,1
hy,2
My,1
ph,3
bi,2
xt,4
lp,1
PR,1
RI,1
IN,1
NC,1
DR,1
RE,1
EW,1
Hi,1
nw,2
eh,2
If,1
Se,1
hl,1
Ge,1
Ni,1
Mi,1
eV,1
Vs,1
tp,1
ek,2
Ne,1
yb,1
St,1
lm,2
rf,2
ln,1
Ha,1
gg,1
xe,1
rb,1
rq,1
Pa,2
wf,1
nb,1
bv,1
