character,default_value,default_shift_value,allowed_to_be_changed,is_changed,shift_allowed_to_be_changed,is_shift_changed,new_value,new_shift_value,hand_used,finger,key_position
96,96,126,True,False,False,False,,,left,pinky,"(0, 0)"
49,49,33,True,False,False,False,,,left,pinky,"(0, 0)"
50,50,64,True,False,False,False,,,left,ring,"(0, 0)"
51,51,35,True,False,False,False,,,left,middle,"(0, 0)"
52,52,36,True,False,False,False,,,left,index,"(0, 0)"
53,53,37,True,False,False,False,,,left,index,"(0, 0)"
54,54,94,True,False,False,False,,,right,index,"(0, 0)"
55,55,38,True,False,False,False,,,right,index,"(0, 0)"
56,56,42,True,False,False,False,,,right,middle,"(0, 0)"
57,57,40,True,False,False,False,,,right,ring,"(0, 0)"
48,48,41,True,False,False,False,,,right,pinky,"(0, 0)"
45,45,95,True,False,False,False,,,right,pinky,"(0, 0)"
61,61,43,True,False,False,False,,,right,pinky,"(0, 0)"
8,8,,True,False,False,False,,,right,pinky,"(0, 0)"
9,9,,True,False,False,False,,,left,pinky,"(0, 0)"
113,113,81,True,False,False,False,,,left,pinky,"(0, 0)"
119,119,87,True,False,False,False,,,left,ring,"(0, 0)"
101,101,69,True,False,False,False,,,left,middle,"(0, 0)"
114,114,82,True,False,False,False,,,left,index,"(0, 0)"
116,116,84,True,False,False,False,,,left,index,"(0, 0)"
121,121,89,True,False,False,False,,,right,index,"(0, 0)"
117,117,85,True,False,False,False,,,right,index,"(0, 0)"
105,105,73,True,False,False,False,,,right,middle,"(0, 0)"
111,111,79,True,False,False,False,,,right,ring,"(0, 0)"
112,112,80,True,False,False,False,,,right,pinky,"(0, 0)"
91,91,123,True,False,False,False,,,right,pinky,"(0, 0)"
93,93,125,True,False,False,False,,,right,pinky,"(0, 0)"
92,92,124,True,False,False,False,,,right,pinky,"(0, 0)"
20,20,,True,False,False,False,,,left,pinky,"(0, 0)"
97,97,65,True,False,False,False,,,left,pinky,"(0, 0)"
115,115,83,True,False,False,False,,,left,ring,"(0, 0)"
100,100,68,True,False,False,False,,,left,middle,"(0, 0)"
102,102,70,True,False,False,False,,,left,index,"(0, 0)"
103,103,71,True,False,False,False,,,left,index,"(0, 0)"
104,104,72,True,False,False,False,,,right,index,"(0, 0)"
106,106,74,True,False,False,False,,,right,index,"(0, 0)"
107,107,75,True,False,False,False,,,right,middle,"(0, 0)"
108,108,76,True,False,False,False,,,right,ring,"(0, 0)"
59,59,58,True,False,False,False,,,right,pinky,"(0, 0)"
39,39,34,True,False,False,False,,,right,pinky,"(0, 0)"
13,13,,True,False,False,False,,,right,pinky,"(0, 0)"
16,16,,True,False,False,False,,,left,pinky,"(0, 0)"
122,122,90,True,False,False,False,,,left,pinky,"(0, 0)"
120,120,88,True,False,False,False,,,left,middle,"(0, 0)"
99,99,67,True,False,False,False,,,left,index,"(0, 0)"
118,118,86,True,False,False,False,,,left,index,"(0, 0)"
98,98,66,True,False,False,False,,,right,index,"(0, 0)"
110,110,78,True,False,False,False,,,right,index,"(0, 0)"
109,109,77,True,False,False,False,,,right,index,"(0, 0)"
44,44,60,True,False,False,False,,,right,middle,"(0, 0)"
46,46,62,True,False,False,False,,,right,ring,"(0, 0)"
47,47,63,True,False,False,False,,,right,pinky,"(0, 0)"
-16,-16,,True,False,False,False,,,right,pinky,"(0, 0)"
17,17,,True,False,False,False,,,left,thumb,"(0, 0)"
-91,-91,,True,False,False,False,,,left,thumb,"(0, 0)"
18,18,,True,False,False,False,,,left,thumb,"(0, 0)"
32,32,,True,False,False,False,,,left,thumb,"(0, 0)"
-18,-18,,True,False,False,False,,,right,thumb,"(0, 0)"
-91,-91,,True,False,False,False,,,right,thumb,"(0, 0)"
-93,-93,,True,False,False,False,,,right,thumb,"(0, 0)"
17,17,,True,False,False,False,,,right,thumb,"(0, 0)"
